pair_id,screen_id,left_file,right_file,final_choice,final_score,choice_trace,num_choice_changes,attention_check,timestamp_utc,uid,cid,orig_uid,rt_ms,client_w,client_h
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v2.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v2.png,A > B,-1,"2,2",0,no,2025-11-02T22:42:32.453698+00:00,T000000,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v2.png::T000000,,3689,1505,772
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v3.png,A > B,-1,2,0,no,2025-11-02T22:43:54.337828+00:00,T000001,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v3.png::T000001,,2716,1505,772
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v4.png,A > B,-1,2,0,no,2025-11-02T22:43:50.577744+00:00,T000002,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v4.png::T000002,,9933,1505,772
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v3.png,A > B,-1,2,0,no,2025-11-02T22:43:38.825988+00:00,T000003,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v3.png::T000003,,18521,1505,772
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v4.png,A >> B,-2,"2,1",1,no,2025-11-02T22:44:06.610147+00:00,T000004,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v4.png::T000004,,589,1505,772
10681::gpt_comp_s2w_10681_v3.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v3.png,gpt_comp_s2w_10681_v4.png,A < B,1,3,0,no,2025-11-02T22:43:18.978393+00:00,T000005,10681::gpt_comp_s2w_10681_v3.png>>gpt_comp_s2w_10681_v4.png::T000005,,41768,1505,772
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v2.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v2.png,A >> B,-2,1,0,no,2025-11-02T22:45:48.146783+00:00,T000006,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v2.png::T000006,,4698,1512,945
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v3.png,A >> B,-2,"2,1",1,no,2025-11-02T22:45:28.365088+00:00,T000007,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v3.png::T000007,,1002,1512,945
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v4.png,A > B,-1,2,0,no,2025-11-02T22:45:36.520877+00:00,T000008,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v4.png::T000008,,7009,1512,945
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v3.png,A < B,1,3,0,no,2025-11-02T22:45:01.159508+00:00,T000009,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v3.png::T000009,,41426,1512,945
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v4.png,A << B,2,4,0,no,2025-11-02T22:44:15.699815+00:00,T000010,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v4.png::T000010,,8082,1505,772
