pair_id,screen_id,left_file,right_file,final_choice,final_score,choice_trace,num_choice_changes,attention_check,timestamp_utc,uid,cid,orig_uid,rt_ms,client_w,client_h
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v2.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v2.png,A >> B,-2,"1,1,1,1",0,no,2025-11-02T22:50:21.109116+00:00,T000000,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v2.png::T000000,,135,1920,968
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v3.png,A < B,1,3,0,no,2025-11-02T22:51:25.777756+00:00,T000001,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v3.png::T000001,,13109,1920,968
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v4.png,A >> B,-2,1,0,no,2025-11-02T22:51:12.032762+00:00,T000002,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v4.png::T000002,,5422,1920,968
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v3.png,A > B,-1,2,0,no,2025-11-02T22:51:05.447727+00:00,T000003,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v3.png::T000003,,14050,1920,968
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v4.png,A > B,-1,2,0,no,2025-11-02T22:51:38.890047+00:00,T000004,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v4.png::T000004,,12317,1920,968
10681::gpt_comp_s2w_10681_v3.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v3.png,gpt_comp_s2w_10681_v4.png,A >> B,-2,1,0,no,2025-11-02T22:50:50.575144+00:00,T000005,10681::gpt_comp_s2w_10681_v3.png>>gpt_comp_s2w_10681_v4.png::T000005,,19309,1920,968
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v2.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v2.png,A >> B,-2,1,0,no,2025-11-02T22:52:29.002976+00:00,T000006,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v2.png::T000006,,1300,1920,968
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v3.png,A >> B,-2,1,0,no,2025-11-02T22:52:20.652567+00:00,T000007,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v3.png::T000007,,5812,1920,968
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v4.png,A >> B,-2,1,0,no,2025-11-02T22:52:27.173132+00:00,T000008,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v4.png::T000008,,5709,1920,968
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v3.png,A < B,1,3,0,no,2025-11-02T22:52:02.323923+00:00,T000009,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v3.png::T000009,,13913,1920,968
