pair_id,screen_id,left_file,right_file,final_choice,final_score,choice_trace,num_choice_changes,attention_check,timestamp_utc,uid,cid,orig_uid,rt_ms,client_w,client_h
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v2.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v2.png,A > B,-1,"2,2,2,2",0,no,2025-11-03T01:15:13.488685+00:00,T000000,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v2.png::T000000,,14915,1707,825
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v3.png,A > B,-1,2,0,no,2025-11-03T01:19:24.631277+00:00,T000001,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v3.png::T000001,,40022,1707,825
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v4.png,A > B,-1,"2,3,2",2,no,2025-11-03T01:18:20.260399+00:00,T000002,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v4.png::T000002,,3270,1707,825
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v3.png,A < B,1,3,0,no,2025-11-03T01:18:02.820790+00:00,T000003,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v3.png::T000003,,1833,1707,825
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v4.png,A >> B,-2,"2,1",1,no,2025-11-03T01:19:34.672099+00:00,T000004,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v4.png::T000004,,4573,1707,825
10681::gpt_comp_s2w_10681_v3.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v3.png,gpt_comp_s2w_10681_v4.png,A >> B,-2,"2,1",1,no,2025-11-03T01:17:38.312212+00:00,T000005,10681::gpt_comp_s2w_10681_v3.png>>gpt_comp_s2w_10681_v4.png::T000005,,1920,1707,825
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v2.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v2.png,A > B,-1,2,0,no,2025-11-03T01:20:37.410114+00:00,T000006,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v2.png::T000006,,4296,1707,825
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v3.png,A > B,-1,2,0,no,2025-11-03T01:20:23.290255+00:00,T000007,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v3.png::T000007,,9367,1707,825
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v4.png,A < B,1,3,0,no,2025-11-03T01:20:29.514708+00:00,T000008,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v4.png::T000008,,5219,1707,825
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v3.png,A < B,1,3,0,no,2025-11-03T01:19:57.659823+00:00,T000009,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v3.png::T000009,,2384,1707,825
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v4.png,A < B,1,3,0,no,2025-11-03T01:19:48.574830+00:00,T000010,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v4.png::T000010,,12464,1707,825
12842::gemini_comp_s2w_12842_v3.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v3.png,gemini_comp_s2w_12842_v4.png,A < B,1,"3,4,3",2,no,2025-11-03T01:20:12.804571+00:00,T000011,12842::gemini_comp_s2w_12842_v3.png>>gemini_comp_s2w_12842_v4.png::T000011,,1484,1707,825
13350::gemini_comp_s2w_13350_v1.png||gemini_comp_s2w_13350_v2.png,13350,gemini_comp_s2w_13350_v1.png,gemini_comp_s2w_13350_v2.png,A > B,-1,2,0,no,2025-11-03T01:21:13.788369+00:00,T000012,13350::gemini_comp_s2w_13350_v1.png>>gemini_comp_s2w_13350_v2.png::T000012,,4230,1707,825
13350::gemini_comp_s2w_13350_v1.png||gemini_comp_s2w_13350_v3.png,13350,gemini_comp_s2w_13350_v1.png,gemini_comp_s2w_13350_v3.png,A > B,-1,2,0,no,2025-11-03T01:20:49.274294+00:00,T000013,13350::gemini_comp_s2w_13350_v1.png>>gemini_comp_s2w_13350_v3.png::T000013,,10875,1707,825
13350::gemini_comp_s2w_13350_v1.png||gemini_comp_s2w_13350_v4.png,13350,gemini_comp_s2w_13350_v1.png,gemini_comp_s2w_13350_v4.png,A > B,-1,2,0,no,2025-11-03T01:21:31.067519+00:00,T000014,13350::gemini_comp_s2w_13350_v1.png>>gemini_comp_s2w_13350_v4.png::T000014,,2494,1707,825
13350::gemini_comp_s2w_13350_v2.png||gemini_comp_s2w_13350_v3.png,13350,gemini_comp_s2w_13350_v2.png,gemini_comp_s2w_13350_v3.png,A > B,-1,2,0,no,2025-11-03T01:21:27.083675+00:00,T000015,13350::gemini_comp_s2w_13350_v2.png>>gemini_comp_s2w_13350_v3.png::T000015,,6966,1707,825
