pair_id,screen_id,left_file,right_file,final_choice,final_score,choice_trace,num_choice_changes,attention_check,timestamp_utc,uid,cid,orig_uid,rt_ms,client_w,client_h
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v2.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v2.png,A > B,-1,2,0,no,2025-11-03T00:50:56.070039+00:00,T000000,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v2.png::T000000,,106752,1430,771
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v3.png,A > B,-1,2,0,no,2025-11-03T00:52:34.815531+00:00,T000001,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v3.png::T000001,,16330,1430,771
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v4.png,A > B,-1,2,0,no,2025-11-03T00:52:17.759426+00:00,T000002,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v4.png::T000002,,23672,1430,771
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v3.png,A < B,1,3,0,no,2025-11-03T00:51:53.080681+00:00,T000003,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v3.png::T000003,,19609,1430,771
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v4.png,A < B,1,3,0,no,2025-11-03T00:52:54.570191+00:00,T000004,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v4.png::T000004,,13067,1430,771
10681::gpt_comp_s2w_10681_v3.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v3.png,gpt_comp_s2w_10681_v4.png,A > B,-1,2,0,no,2025-11-03T00:51:32.224476+00:00,T000005,10681::gpt_comp_s2w_10681_v3.png>>gpt_comp_s2w_10681_v4.png::T000005,,33819,1430,771
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v2.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v2.png,A > B,-1,2,0,no,2025-11-03T00:53:48.186126+00:00,T000006,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v2.png::T000006,,2317,1430,771
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v3.png,A > B,-1,2,0,no,2025-11-03T00:53:36.605410+00:00,T000007,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v3.png::T000007,,2210,1430,771
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v4.png,A > B,-1,2,0,no,2025-11-03T00:53:45.259892+00:00,T000008,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v4.png::T000008,,7888,1430,771
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v3.png,A < B,1,3,0,no,2025-11-03T00:53:24.334091+00:00,T000009,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v3.png::T000009,,16620,1430,771
