pair_id,screen_id,left_file,right_file,final_choice,final_score,choice_trace,num_choice_changes,attention_check,timestamp_utc,uid,cid,orig_uid,rt_ms,client_w,client_h
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v2.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v2.png,A >> B,-2,"1,2,1,1,2,1,1,1",4,no,2025-11-03T01:28:47.051519+00:00,T000000,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v2.png::T000000,,880,1920,961
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v3.png,A >> B,-2,"2,1",1,no,2025-11-03T01:30:42.123372+00:00,T000001,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v3.png::T000001,,1913,1920,961
10681::gpt_comp_s2w_10681_v1.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v1.png,gpt_comp_s2w_10681_v4.png,A > B,-1,2,0,no,2025-11-03T01:30:29.519049+00:00,T000002,10681::gpt_comp_s2w_10681_v1.png>>gpt_comp_s2w_10681_v4.png::T000002,,4698,1920,961
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v3.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v3.png,A > B,-1,"2,3,2",2,no,2025-11-03T01:30:22.400818+00:00,T000003,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v3.png::T000003,,1246,1920,961
10681::gpt_comp_s2w_10681_v2.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v2.png,gpt_comp_s2w_10681_v4.png,A >> B,-2,1,0,no,2025-11-03T01:31:01.110540+00:00,T000004,10681::gpt_comp_s2w_10681_v2.png>>gpt_comp_s2w_10681_v4.png::T000004,,16820,1920,961
10681::gpt_comp_s2w_10681_v3.png||gpt_comp_s2w_10681_v4.png,10681,gpt_comp_s2w_10681_v3.png,gpt_comp_s2w_10681_v4.png,A < B,1,3,0,no,2025-11-03T01:29:50.805291+00:00,T000005,10681::gpt_comp_s2w_10681_v3.png>>gpt_comp_s2w_10681_v4.png::T000005,,54754,1920,961
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v2.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v2.png,A >> B,-2,1,0,no,2025-11-03T01:32:37.936277+00:00,T000006,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v2.png::T000006,,12539,1920,961
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v3.png,A >> B,-2,1,0,no,2025-11-03T01:32:03.967982+00:00,T000007,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v3.png::T000007,,4313,1920,961
12842::gemini_comp_s2w_12842_v1.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v1.png,gemini_comp_s2w_12842_v4.png,A << B,2,"3,4",1,no,2025-11-03T01:32:24.064941+00:00,T000008,12842::gemini_comp_s2w_12842_v1.png>>gemini_comp_s2w_12842_v4.png::T000008,,1077,1920,961
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v3.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v3.png,A << B,2,4,0,no,2025-11-03T01:31:24.110981+00:00,T000009,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v3.png::T000009,,8887,1920,961
12842::gemini_comp_s2w_12842_v2.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v2.png,gemini_comp_s2w_12842_v4.png,A << B,2,4,0,no,2025-11-03T01:31:12.314939+00:00,T000010,12842::gemini_comp_s2w_12842_v2.png>>gemini_comp_s2w_12842_v4.png::T000010,,9551,1920,961
12842::gemini_comp_s2w_12842_v3.png||gemini_comp_s2w_12842_v4.png,12842,gemini_comp_s2w_12842_v3.png,gemini_comp_s2w_12842_v4.png,A < B,1,3,0,no,2025-11-03T01:31:58.395738+00:00,T000011,12842::gemini_comp_s2w_12842_v3.png>>gemini_comp_s2w_12842_v4.png::T000011,,32236,1920,961
13350::gemini_comp_s2w_13350_v1.png||gemini_comp_s2w_13350_v2.png,13350,gemini_comp_s2w_13350_v1.png,gemini_comp_s2w_13350_v2.png,A >> B,-2,1,0,no,2025-11-03T01:33:09.641722+00:00,T000012,13350::gemini_comp_s2w_13350_v1.png>>gemini_comp_s2w_13350_v2.png::T000012,,3706,1920,961
13350::gemini_comp_s2w_13350_v1.png||gemini_comp_s2w_13350_v3.png,13350,gemini_comp_s2w_13350_v1.png,gemini_comp_s2w_13350_v3.png,A << B,2,4,0,no,2025-11-03T01:32:51.228703+00:00,T000013,13350::gemini_comp_s2w_13350_v1.png>>gemini_comp_s2w_13350_v3.png::T000013,,7651,1920,961
13350::gemini_comp_s2w_13350_v1.png||gemini_comp_s2w_13350_v4.png,13350,gemini_comp_s2w_13350_v1.png,gemini_comp_s2w_13350_v4.png,A << B,2,4,0,no,2025-11-03T01:33:36.462155+00:00,T000014,13350::gemini_comp_s2w_13350_v1.png>>gemini_comp_s2w_13350_v4.png::T000014,,16462,1920,961
13350::gemini_comp_s2w_13350_v2.png||gemini_comp_s2w_13350_v3.png,13350,gemini_comp_s2w_13350_v2.png,gemini_comp_s2w_13350_v3.png,A << B,2,4,0,no,2025-11-03T01:33:18.863949+00:00,T000015,13350::gemini_comp_s2w_13350_v2.png>>gemini_comp_s2w_13350_v3.png::T000015,,1739,1920,961
13350::gemini_comp_s2w_13350_v2.png||gemini_comp_s2w_13350_v4.png,13350,gemini_comp_s2w_13350_v2.png,gemini_comp_s2w_13350_v4.png,A << B,2,4,0,no,2025-11-03T01:33:16.110443+00:00,T000016,13350::gemini_comp_s2w_13350_v2.png>>gemini_comp_s2w_13350_v4.png::T000016,,5406,1920,961
13350::gemini_comp_s2w_13350_v3.png||gemini_comp_s2w_13350_v4.png,13350,gemini_comp_s2w_13350_v3.png,gemini_comp_s2w_13350_v4.png,A >> B,-2,1,0,no,2025-11-03T01:33:04.763671+00:00,T000017,13350::gemini_comp_s2w_13350_v3.png>>gemini_comp_s2w_13350_v4.png::T000017,,12257,1920,961
13585::gemini_comp_s2w_13585_v1.png||gemini_comp_s2w_13585_v2.png,13585,gemini_comp_s2w_13585_v1.png,gemini_comp_s2w_13585_v2.png,A << B,2,4,0,no,2025-11-03T01:33:56.017028+00:00,T000018,13585::gemini_comp_s2w_13585_v1.png>>gemini_comp_s2w_13585_v2.png::T000018,,2170,1920,961
13585::gemini_comp_s2w_13585_v1.png||gemini_comp_s2w_13585_v3.png,13585,gemini_comp_s2w_13585_v1.png,gemini_comp_s2w_13585_v3.png,A << B,2,4,0,no,2025-11-03T01:33:41.971050+00:00,T000019,13585::gemini_comp_s2w_13585_v1.png>>gemini_comp_s2w_13585_v3.png::T000019,,4210,1920,961
13585::gemini_comp_s2w_13585_v1.png||gemini_comp_s2w_13585_v4.png,13585,gemini_comp_s2w_13585_v1.png,gemini_comp_s2w_13585_v4.png,A << B,2,4,0,no,2025-11-03T01:34:09.191718+00:00,T000020,13585::gemini_comp_s2w_13585_v1.png>>gemini_comp_s2w_13585_v4.png::T000020,,3109,1920,961
13585::gemini_comp_s2w_13585_v2.png||gemini_comp_s2w_13585_v3.png,13585,gemini_comp_s2w_13585_v2.png,gemini_comp_s2w_13585_v3.png,A > B,-1,2,0,no,2025-11-03T01:34:18.523030+00:00,T000021,13585::gemini_comp_s2w_13585_v2.png>>gemini_comp_s2w_13585_v3.png::T000021,,8196,1920,961
13585::gemini_comp_s2w_13585_v2.png||gemini_comp_s2w_13585_v4.png,13585,gemini_comp_s2w_13585_v2.png,gemini_comp_s2w_13585_v4.png,A << B,2,4,0,no,2025-11-03T01:33:52.444885+00:00,T000022,13585::gemini_comp_s2w_13585_v2.png>>gemini_comp_s2w_13585_v4.png::T000022,,846,1920,961
13585::gemini_comp_s2w_13585_v3.png||gemini_comp_s2w_13585_v4.png,13585,gemini_comp_s2w_13585_v3.png,gemini_comp_s2w_13585_v4.png,A >> B,-2,1,0,no,2025-11-03T01:34:03.749950+00:00,T000023,13585::gemini_comp_s2w_13585_v3.png>>gemini_comp_s2w_13585_v4.png::T000023,,6655,1920,961
